"Sex";"fakecode";"fakelat";"fakelong";"PatronType";"PatronID";"EMAI/Venue";"EMAI/Third Patry (i.e. Promoter or Partner)";"PHON/Venue";"PHON/Third Patry (i.e. Promoter or Partner)";"POST/Venue";"POST/Third Patry (i.e. Promoter or Partner)";"SMS/Venue";"SMS/Third Patry (i.e. Promoter or Partner)";"SOCI/Venue";"SOCI/Third Patry (i.e. Promoter or Partner)"
"M";"TS26 9HY";"54.6827219";"-1.2219053";"Lapsed Booker";"102994";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"CW11 3FX";"53.1441634";"-2.3922723";"Student";"104259";"Y";"Y";"N";"N";"N";"N";"N";"N";"Y";"N"
NULL;"LA1 3EY";"54.0504484";"-2.786843";"Regular Booker";"527";"Y";"Y";"Y";"Y";"Y";"Y";"N";"Y";"N";"Y"
"F";"LA8 8AX";"54.2983918";"-2.8113626";"Active Booker";"103795";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"102886";"Y";"Y";"Y";"N";"N";"N";"N";"N";"N";"N"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Student";"100562";"Y";"Y";"Y";"N";"N";"N";"N";"N";"N";"N"
"M";"LA5 0SN";"54.1867024";"-2.8271845";"Active Booker";"105408";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"M";"PR3 6SR";"53.9082651";"-2.9008916";"Active Booker";"103116";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"102583";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"F";"LA5 9HG";"54.1378168";"-2.7678132";"Lapsed Booker";"103093";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Student";"104938";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA1 3EY";"54.0504484";"-2.786843";"Student";"104231";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Active Booker";"105433";"Y";"Y";"Y";"N";"Y";"Y";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"7041";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;NULL;NULL;NULL;"Student";"104329";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"103001";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Regular Booker";"584";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Active Booker";"578";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA1 5PA";"54.0477115";"-2.8129192";"Student";"104554";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA1 1PS";"54.049537";"-2.7996342";"Active Booker";"104894";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"PR2 6BH";"53.7781575";"-2.6613736";"Regular Booker";"585";"N";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
"F";"FY7 8EX";"53.9107992";"-3.038209";"Regular Booker";"103656";"Y";"Y";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
