"Sex";"fakecode";"fakelat";"fakelong";"PatronType";"PatronID";"EMAI/Venue";"EMAI/Third Patry (i.e. Promoter or Partner)";"PHON/Venue";"PHON/Third Patry (i.e. Promoter or Partner)";"POST/Venue";"POST/Third Patry (i.e. Promoter or Partner)";"SMS/Venue";"SMS/Third Patry (i.e. Promoter or Partner)";"SOCI/Venue";"SOCI/Third Patry (i.e. Promoter or Partner)";"TotalPaymentValue"
"M";"LA1 5PA";"54.0477115";"-2.8129192";"Active Booker";"425";"Y";"Y";"N";"?";"N";"?";"?";"?";"?";"?";"74.40"
;"LA2 6BQ";"54.0839557";"-2.7861084";"Student";"2785";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"74.10"
"F";"LA2 0NU";"53.9922216";"-2.7988144";"Lapsed Booker";"102140";"Y";"Y";"N";"N";"N";"N";"N";"N";"Y";"N";"74.00"
;"LA6 1JG";"54.1631271";"-2.7247161";"Active Booker";"764";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"73.50"
;;;;"Student";"104940";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"73.00"
;"LA7 7TZ";"54.2266742";"-2.7724253";"Regular Booker";"1685";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"72.00"
;"LA2 0NU";"53.9922216";"-2.7988144";"Lapsed Booker";"101080";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N";"72.00"
"M";;;;"Student";"105261";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"71.50"
;"LA1 4EP";"54.0322724";"-2.7906442";"Active Booker";"105032";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"71.00"
;;;;"Student";"104270";"Y";"N";"N";"N";"N";"N";"Y";"N";"Y";"N";"70.50"
"M";"LA5 9HG";"54.1378168";"-2.7678132";"Regular Booker";"102388";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"70.36"
"F";"GL50 4RN";"51.9107477";"-2.0773303";"Student";"104970";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"70.00"
"M";"RM7 0JU";"51.5660769";"0.17496703";"Student";"104251";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"70.00"
;"LA1 1PS";"54.049537";"-2.7996342";"Active Booker";"102676";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"70.00"
;"LA3 3ES";"54.0474118";"-2.8564615";"Lapsed Booker";"102854";"Y";"Y";"N";"N";"Y";"Y";"N";"N";"N";"N";"69.50"
;"LA6 2BB";"54.205825";"-2.5969083";"Lapsed Booker";"2841";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"69.50"
"F";"LA5 9HG";"54.1378168";"-2.7678132";"Lapsed Booker";"100640";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"68.40"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Student";"105398";"Y";"N";"Y";"N";"Y";"N";"Y";"Y";"Y";"N";"68.10"
"M";"LA2 6BQ";"54.0839557";"-2.7861084";"Active Booker";"4330";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?";"68.00"
